source,column,rows,duplicate_full_rows,null_count,null_rate_pct,unique_non_null,is_candidate_join_key,unique_ratio_pct,whitespace_defects,casing_defects,malformed_values,min_date,max_date,malformed_names,missing_identifier_count,duplicate_ids
crm_accounts.csv,owner,50,0,0,0.0,8,False,16.0,0,0,,,,0,,
crm_accounts.csv,stage,50,0,0,0.0,6,False,12.0,0,0,,,,,,
crm_accounts.csv,arr_potential_usd,50,0,0,0.0,7,False,14.0,0,0,,,,,,
crm_accounts.csv,industry,50,0,0,0.0,26,False,52.0,0,0,,,,,,
crm_accounts.csv,employee_count,50,0,0,0.0,44,False,88.0,0,0,,,,,,
crm_accounts.csv,hq,50,0,0,0.0,42,False,84.0,0,0,,,,,,
crm_accounts.csv,last_touch_date,50,0,0,0.0,44,False,88.0,0,0,0,2025-07-07,2026-07-28,,,
connector_roster.csv,name,6,0,0,0.0,6,True,100.0,0,0,,,,0,,0
connector_roster.csv,role,6,0,0,0.0,6,False,100.0,0,0,,,,,,
connector_roster.csv,type,6,0,0,0.0,3,False,50.0,0,0,,,,,,
connector_roster.csv,focus_areas,6,0,0,0.0,6,False,100.0,0,0,,,,,,
connector_roster.csv,stated_monthly_capacity,6,0,0,0.0,5,False,83.3,0,0,,,,,,
connector_roster.csv,notes,6,0,0,0.0,6,False,100.0,0,0,,,,,,
connector_roster.csv,connections_file,6,0,0,0.0,6,False,100.0,0,6,,,,,,
investor_network.csv,person,73,0,0,0.0,42,True,57.5,0,0,,,,0,,
investor_network.csv,role,73,0,0,0.0,5,False,6.8,0,0,,,,,,
investor_network.csv,fund,73,0,20,27.4,9,False,17.0,0,0,,,,,,
investor_network.csv,portfolio_company,73,0,20,27.4,26,False,49.1,0,0,,,,,,
investor_network.csv,board_seat,73,0,0,0.0,2,False,2.7,0,0,,,,,,
investor_network.csv,prior_employer,73,0,53,72.6,14,False,70.0,0,0,,,,,,
investor_network.csv,prior_employer_start,73,0,53,72.6,6,False,30.0,0,0,,,,,,
investor_network.csv,prior_employer_end,73,0,53,72.6,6,False,30.0,0,0,,,,,,
slack_threads.jsonl (messages),request_id,523,0,0,0.0,200,True,38.2,0,523,,,,,,
slack_threads.jsonl (messages),channel,523,0,0,0.0,1,False,0.2,0,523,,,,,,
slack_threads.jsonl (messages),thread_index,523,0,0,0.0,200,False,38.2,0,0,,,,,,
slack_threads.jsonl (messages),message_index,523,0,0,0.0,5,False,1.0,0,0,,,,,,
slack_threads.jsonl (messages),ts,523,0,0,0.0,500,False,95.6,0,523,0,2025-08-02,2026-07-26,,,
slack_threads.jsonl (messages),user,523,0,0,0.0,13,False,2.5,0,0,,,,0,,
slack_threads.jsonl (messages),text,523,0,0,0.0,219,False,41.9,0,234,,,,,,
connections_aldridge.csv,name,1455,0,0,0.0,1455,True,100.0,0,0,,,,0,,
connections_aldridge.csv,company,1455,0,0,0.0,39,False,2.7,0,0,,,,,,
connections_aldridge.csv,title,1455,0,0,0.0,22,False,1.5,0,0,,,,,,
connections_aldridge.csv,profile_url,1455,0,86,5.9,1369,True,100.0,0,1369,,,,,86,0
connections_aldridge.csv,connected_on,1455,0,0,0.0,1198,False,82.3,0,0,0,2014-02-24,2027-05-09,,,
connections_beckett.csv,name,1130,0,0,0.0,1130,True,100.0,0,0,,,,0,,
connections_beckett.csv,company,1130,0,0,0.0,32,False,2.8,0,0,,,,,,
connections_beckett.csv,title,1130,0,0,0.0,22,False,1.9,0,0,,,,,,
connections_beckett.csv,profile_url,1130,0,61,5.4,1069,True,100.0,0,1069,,,,,61,0
connections_beckett.csv,connected_on,1130,0,0,0.0,979,False,86.6,0,0,0,2014-07-13,2026-11-16,,,
connections_duvall.csv,name,420,0,0,0.0,420,True,100.0,0,0,,,,0,,
connections_duvall.csv,company,420,0,0,0.0,33,False,7.9,0,0,,,,,,
connections_duvall.csv,title,420,0,0,0.0,22,False,5.2,0,0,,,,,,
connections_duvall.csv,profile_url,420,0,21,5.0,399,True,100.0,0,399,,,,,21,0
connections_duvall.csv,connected_on,420,0,0,0.0,390,False,92.9,0,0,0,2014-02-22,2028-06-16,,,
connections_raghunathan.csv,name,728,0,0,0.0,728,True,100.0,0,0,,,,0,,
connections_raghunathan.csv,company,728,0,0,0.0,37,False,5.1,0,0,,,,,,
connections_raghunathan.csv,title,728,0,0,0.0,22,False,3.0,0,0,,,,,,
connections_raghunathan.csv,profile_url,728,0,33,4.5,695,True,100.0,0,695,,,,,33,0
connections_raghunathan.csv,connected_on,728,0,0,0.0,666,False,91.5,0,0,0,2014-01-26,2027-07-04,,,
connections_trask.csv,name,356,0,0,0.0,356,True,100.0,0,0,,,,0,,
connections_trask.csv,company,356,0,0,0.0,32,False,9.0,0,0,,,,,,
connections_trask.csv,title,356,0,0,0.0,22,False,6.2,0,0,,,,,,
connections_trask.csv,profile_url,356,0,20,5.6,336,True,100.0,0,336,,,,,20,0
connections_trask.csv,connected_on,356,0,0,0.0,347,False,97.5,0,0,0,2015-05-17,2026-09-17,,,
connections_whitfield.csv,name,986,0,0,0.0,986,True,100.0,0,0,,,,0,,
connections_whitfield.csv,company,986,0,0,0.0,28,False,2.8,0,0,,,,,,
connections_whitfield.csv,title,986,0,0,0.0,22,False,2.2,0,0,,,,,,
connections_whitfield.csv,profile_url,986,0,57,5.8,929,True,100.0,0,929,,,,,57,0
connections_whitfield.csv,connected_on,986,0,0,0.0,864,False,87.6,0,0,0,2014-07-24,2026-10-19,,,
